OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
131,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,118.569420541040216
132,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,127.698815810897443
133,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,287.188513066553810
134,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,110.698575069266184
135,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,141.036994802037185
136,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2001-01-01 0:00:00,2002-01-01 0:00:00,99.279474186387745
137,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,83.719440919236106
138,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,111.255485308786390
139,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,79.483084314759694
140,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,116.214259932755368
141,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,175.891753983603280
142,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,105.727760478515393
143,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,125.218764104791205
144,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2002-01-01 0:00:00,2003-01-01 0:00:00,62.127913835868718
145,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,141.160505317367807
146,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,186.445068257214501
147,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,154.022731175897604
148,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,126.419782207742031
149,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,246.206299548755652
150,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,184.791297265393467
151,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,210.805500630791073
152,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2003-01-01 0:00:00,2004-01-01 0:00:00,167.937553352130351
153,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,158.034313416408622
154,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,231.239621522533724
155,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,180.907516925223206
156,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,144.275733373946224
157,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,333.036145689217335
158,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,178.801116820203504
159,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,197.569099026266287
