OID_,Site,Distance,FID_Yukon_spawning_sites,Site_1,Latitude,Longitude,FID_YRC_CU,OBJECTID_1,WATERSHED_,SUB_SUB_DR,MAJOR_DRAI,MAJOR_DR_1,SUB_DRAINA,SUB_DRAI_1,SUB_SUB__1,SUB_SUB__2,GEOMETRY_A,GEOMETRY_L,Shape_Leng
0,SelwynR,2373,38,SelwynR,62.80351,-138.28462,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402,457456.6719,457456.6719
0,SidneyCr,3066,89,SidneyCr,60.75712,-132.94218,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,SixtyMileR,2246,18,SixtyMileR,63.5633,-139.76211,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367,962165.1234,962165.1234
0,SMacmillanR,2775,63,SMacmillanR,63.02977,-133.28706,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,SmartR,3066,90,SmartR,59.93373,-131.75616,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,SMcQuestenR,2491,17,SMcQuestenR,63.84439,-136.30215,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,SMSYukonR,2704,91,SMSYukonR,61.57195,-134.90756,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916148,537860.2347,537860.2347
0,SquangaCr,2891,92,SquangaCr,60.54162,-133.43034,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,SSwiftR,3009,88,SSwiftR,59.73765,-132.18442,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,TakhiniR,2818,93,TakhiniR,60.84144,-135.18337,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916148,537860.2347,537860.2347
0,TatchunCr,2510,39,TatchunCr,62.28553,-136.32524,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402,457456.6719,457456.6719
0,TayR,2683,64,TayR,62.56823,-134.35439,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,Thirty-MileCr,3050,94,Thirty-MileCr,60.66817,-132.8571,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,TincupCr,2535,40,TincupCr,61.88768,-139.54533,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744635,940515.5563,940515.5563
0,TummelR,2617,65,TummelR,62.75663,-135.06402,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,UNisutlinR,3142,95,UNisutlinR,61.1749,-132.96455,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,UPellyR,3034,66,UPellyR,61.98023,-132.41312,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,UStewartR,2608,19,UStewartR,63.56046,-133.96579,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,UTeslinR,3049,96,UTeslinR,59.48494,-132.09988,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,WalshCr,2644,41,WalshCr,61.92001,-134.94149,7,0,0, , , ,Carmacks, , , ,0,0,0
0,WatsonCr,2548,20,WatsonCr,63.53574,-135.15401,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,WolfCr,2855,97,WolfCr,60.62501,-134.91311,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916148,537860.2347,537860.2347
0,WolfR,2971,98,WolfR,,,,,,,,,Teslin,,,,,,
0,WoodsideCr,3034,67,WoodsideCr,62.03462,-130.55849,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
