OID_,VALUE,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
1541,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-12 12:00:00,4.165831825064596
1542,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-12 12:00:00,5.972948490036330
1543,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-12 12:00:00,3.518413463835322
1544,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-12 12:00:00,7.650051688917881
1545,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-13 12:00:00,7.701290708169516
1546,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-13 12:00:00,6.776644625271478
1547,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-13 12:00:00,8.386351081415432
1548,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-13 12:00:00,5.840194344437220
1549,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-13 12:00:00,4.309937240424276
1550,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-13 12:00:00,6.197549714186634
1551,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-13 12:00:00,6.056865795115009
1552,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-13 12:00:00,8.020784980752858
1553,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-14 12:00:00,7.107999891332864
1554,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-14 12:00:00,6.851759967250499
1555,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-14 12:00:00,6.321399575355176
1556,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-14 12:00:00,5.631925837119879
1557,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-14 12:00:00,3.890530819886524
1558,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-14 12:00:00,7.059022498747402
1559,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-14 12:00:00,2.267686523193257
1560,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-14 12:00:00,7.199925565507297
