"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"84","Pelly",1992,10.1586362612087,12.5909038924045,15.6124042144832,5.59933198712096,8.69581763976986,13.7209374886561
"85","Stewart",1992,4.63125066457394,5.8272571442657,7.3322748931578,4.33688541964073,6.12785119242936,8.45397120129837
"86","Teslin",1992,21.1990599177267,25.796214611122,31.6679314794538,13.2557846450279,16.1590816968404,19.5127137089844
"87","Upper Lakes and Mainstem",1992,11.9849499289597,15.513691402291,19.8255650346416,5.35344173578011,6.59852002520821,8.16171107719405
"88","White-Donjek",1992,6.52058158532348,8.19260681433877,10.2376795971461,2.49221105256867,6.26391779906884,13.4148372329821
"89","Carmacks",1993,6.75384962612355,8.25659359788839,10.3839720761121,10.0217883216693,12.0113081591699,14.2439093360586
"90","Lower Mainstem",1993,11.7787697265975,14.5000960926142,17.9123942421932,9.45566880657696,11.4782987749797,13.8872110435515
"91","Middle Mainstem",1993,23.6446205119286,29.0413796068196,35.9779194752478,5.60476116073208,7.14705795090395,8.8902101186519
"92","Pelly",1993,9.06488864288069,11.1950439291738,13.8887764756343,4.71386013004766,6.23132645980437,8.3718526787533
"93","Stewart",1993,4.10758487763964,5.3055272295359,6.59648401249952,2.06272723556078,3.15970767682068,5.03152232950453
"94","Teslin",1993,16.9001051379317,20.8819951003384,26.5287433013664,10.9750849373083,13.23806691749,16.0985889400189
"95","Upper Lakes and Mainstem",1993,7.72917025013512,9.73833902130306,12.4894524084551,3.62970230496911,4.54294537051558,5.69989218934309
"96","White-Donjek",1993,5.14530930314634,6.53032625625096,8.09638992264015,7.57439177103792,9.54836166665273,12.1053889918612
"97","Carmacks",1994,8.78558529519487,10.9284022862986,13.7014952309221,11.0378535411613,13.7555899387336,17.3311438241684
"98","Lower Mainstem",1994,19.1682381795167,23.500254823847,29.1780683596315,9.26499484183687,10.8206714487023,12.5331534004245
"99","Middle Mainstem",1994,13.7439679309452,17.2147049695233,21.4737500925327,10.4453703929185,12.6865451844722,15.131348697427
"100","Pelly",1994,15.074136919018,18.3590800221547,23.1312701669985,6.32160969779098,8.45962055151785,11.4266718274144
