,year,Population,age_4,age_5,age_6,age_7,year_4,year_5,year_6,year_7,S_med,S_med_total,popn_prop,,,Population,year,Age_4,Age_5,Age_6,Age_7,,x,j,j,j
12,1996,Aggregate,2208.802468,31139.57286,21718.40654,12544.52111,1992,1991,1990,1989,NA,NA,NA,,,Aggregate,1996,2208.802468,31139.57286,21718.40654,12544.52111,,0,-3.63798E-11,0,-2.72848E-11
47,1996,Carmacks,2368.255121,1332.143505,5328.574022,148.015945,1992,1991,1990,1989,9.176988593,67.61130298,0.135731574,,,Carmacks,1996,2368.255121,1332.143505,5328.574022,148.015945,,3.63798E-12,3.63798E-12,0,0
82,1996,Lower Mainstem,11518.65959,0,0,0,1992,1991,1990,1989,11.51865959,67.61130298,0.170365887,,,Lower Mainstem,1996,11518.65959,0,0,0,,0,0,0,0
117,1996,Middle Mainstem,474.522247,6689.787929,4665.816533,2694.969076,NA,NA,NA,NA,14.52509578,67.61130298,0.21483236,,,Middle Mainstem,1996,474.522247,6689.787929,4665.816533,2694.969076,,0,0,0,-5.45697E-12
152,1996,Pelly,0,6240.324737,0,0,1992,1991,1990,1989,6.240324737,67.61130298,0.092297064,,,Pelly,1996,0,6240.324737,0,0,,0,0,0,0
187,1996,Stewart,0,672.4897348,2689.958939,0,1992,1991,1990,1989,3.362448674,67.61130298,0.04973205,,,Stewart,1996,0,672.4897348,2689.958939,0,,0,0,0,0
222,1996,Teslin,0,7243.600158,957.8314259,59.86446412,1992,1991,1990,1989,8.261296048,67.61130298,0.122188091,,,Teslin,1996,0,7243.600158,957.8314259,59.86446412,,0,0,0,0
257,1996,Upper Lakes and Mainstem,0,0,5507.093245,0,1992,1991,1990,1989,5.507093245,67.61130298,0.081452257,,,Upper Lakes and Mainstem,1996,0,0,5507.093245,0,,0,0,0,0
292,1996,White-Donjek,322.1212967,8053.032418,322.1212967,322.1212967,1992,1991,1990,1989,9.019396309,67.61130298,0.133400717,,,White-Donjek,1996,322.1212967,8053.032418,322.1212967,322.1212967,,0,0,0,0
13,1997,Aggregate,3107.700062,9702.395508,63517.95163,2535.809736,1993,1992,1991,1990,NA,NA,NA,,,Aggregate,1997,3107.700062,9702.395508,63517.95163,2535.809736,,0,0,0,0
48,1997,Carmacks,606.1306317,1892.370242,12388.63963,494.5882573,NA,NA,NA,NA,15.38172876,78.86385694,0.195041548,,,Carmacks,1997,606.1306317,1892.370242,12388.63963,494.5882573,,0,-3.18323E-12,-3.63798E-11,0
83,1997,Lower Mainstem,421.6396168,1316.380038,8617.847365,344.0479533,NA,NA,NA,NA,10.69991497,78.86385694,0.135675776,,,Lower Mainstem,1997,421.6396168,1316.380038,8617.847365,344.0479533,,0,0,0,0
118,1997,Middle Mainstem,927.018546,2894.19841,18947.23365,756.4252046,NA,NA,NA,NA,23.52487581,78.86385694,0.298297303,,,Middle Mainstem,1997,927.018546,2894.19841,18947.23365,756.4252046,,0,0,0,0
153,1997,Pelly,337.8622215,1054.822806,6905.530077,275.6875805,NA,NA,NA,NA,8.573902685,78.86385694,0.10871777,,,Pelly,1997,337.8622215,1054.822806,6905.530077,275.6875805,,0,-2.50111E-12,0,-4.54747E-13
188,1997,Stewart,209.9127154,655.3580291,4290.383705,171.2838102,NA,NA,NA,NA,5.32693826,78.86385694,0.067546002,,,Stewart,1997,209.9127154,655.3580291,4290.383705,171.2838102,,-2.55795E-13,0,0,0
223,1997,Teslin,194.3619848,606.8078679,3972.543973,158.5947819,NA,NA,NA,NA,4.932308607,78.86385694,0.062542067,,,Teslin,1997,194.3619848,606.8078679,3972.543973,158.5947819,,-4.83169E-13,0,-5.00222E-12,0
258,1997,Upper Lakes and Mainstem,253.4566969,791.3045238,5180.374519,206.814669,NA,NA,NA,NA,6.431950409,78.86385694,0.081557645,,,Upper Lakes and Mainstem,1997,253.4566969,791.3045238,5180.374519,206.814669,,4.54747E-13,0,0,4.54747E-13
293,1997,White-Donjek,157.3176483,491.1535909,3215.398713,128.3674796,NA,NA,NA,NA,3.992237432,78.86385694,0.050621889,,,White-Donjek,1997,157.3176483,491.1535909,3215.398713,128.3674796,,0,0,4.09273E-12,2.27374E-13
14,1998,Aggregate,1965.866479,17542.77286,16055.66494,4553.475497,1994,1993,1992,1991,NA,NA,NA,,,Aggregate,1998,1965.866479,17542.77286,16055.66494,4553.475497,,0,0,2.18279E-11,0
49,1998,Carmacks,329.5525366,2940.822969,2691.528222,763.3323101,NA,NA,NA,NA,6.725236037,40.11777977,0.167637294,,,Carmacks,1998,329.5525366,2940.822969,2691.528222,763.3323101,,0,0,0,0
84,1998,Lower Mainstem,92.69150128,827.1497431,757.0319263,214.6984469,NA,NA,NA,NA,1.891571618,40.11777977,0.047150456,,,Lower Mainstem,1998,92.69150128,827.1497431,757.0319263,214.6984469,,0,0,0,0
119,1998,Middle Mainstem,96.20853645,858.5346564,785.7563279,222.8448463,NA,NA,NA,NA,1.963344367,40.11777977,0.048939507,,,Middle Mainstem,1998,96.20853645,858.5346564,785.7563279,222.8448463,,0,0,0,0
154,1998,Pelly,367.7141561,3281.365234,3003.202582,851.7248846,NA,NA,NA,NA,7.504006856,40.11777977,0.187049406,,,Pelly,1998,367.7141561,3281.365234,3003.202582,851.7248846,,0,3.63798E-12,-3.63798E-12,0
