"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"162","Lower Mainstem",2005,6.44844142747202,8.75188356133416,11.7145778302108,9.43136694302328,11.3977802728721,13.7494048481167
"163","Middle Mainstem",2005,13.8629886421527,16.0383378503086,18.9274397532936,13.7872795601254,14.133135252293,14.493745845685
"164","Pelly",2005,9.3780754857236,11.2205943650068,13.6761135418187,6.84895902884233,8.45759623481576,10.5089600338685
"165","Stewart",2005,4.30947662911744,5.2686377276567,6.54687479018589,2.03714435823436,3.0305456468208,4.4306705774359
"166","Teslin",2005,6.79966077016216,8.93228395144785,11.4706718272272,6.61826592488186,8.35677146580229,10.5965592148092
"167","Upper Lakes and Mainstem",2005,5.78411440326615,7.49718393693407,9.38180978948714,5.47597815049574,5.66213762399403,5.85416556363422
"168","White-Donjek",2005,4.79476387596834,6.47459184648578,8.97232513894902,5.17442880870827,6.88166779005739,9.06223213516874
"169","Carmacks",2006,8.39808422412966,10.8087472078542,13.6235685845798,16.1792178903734,18.0048799174811,20.0172853951882
"170","Lower Mainstem",2006,4.16380206333566,6.96234724411518,10.2161761649768,13.6050327445767,14.2989410967265,15.0445838353444
"171","Middle Mainstem",2006,11.0008841606798,12.8004054250013,14.8690822376341,6.41550140644906,6.67005657358368,6.93702137280598
"172","Pelly",2006,6.51617293388669,8.16057527983948,10.1494614785101,11.1685399493478,12.8836940043992,14.877470572961
"173","Stewart",2006,2.5533286861868,3.3103406292616,4.2211061014403,1.37473738470536,1.54345024415235,1.73301787882646
"174","Teslin",2006,4.48097732123565,5.85192222637428,7.74101757958505,2.95625757016848,4.64095670836589,7.40639127927273
"175","Upper Lakes and Mainstem",2006,2.73799059704788,3.93992313932886,5.58151789326814,2.13985183876839,2.26293452198899,2.39548628716073
"176","White-Donjek",2006,2.51200665996431,3.63413783905457,5.2287837991032,2.33922077234697,3.92441996127827,6.56967074354051
"177","Carmacks",2007,7.84608676651944,9.58862474097136,11.63479871422,4.99285485160935,5.29280789821697,5.59782133976474
"178","Lower Mainstem",2007,3.63017690409974,6.29071225300118,9.83227820065404,3.15606184453103,4.50235327788901,6.42426789873748
"179","Middle Mainstem",2007,6.9094938648279,8.02341665694907,9.30480743567042,2.08756278946668,2.23188685438417,2.38387292373901
"180","Pelly",2007,3.84622570224629,4.9466846716999,6.27934616529341,7.4534243394259,8.80671960381265,10.4588434561243
"181","Stewart",2007,0.850369858455727,1.29156932208563,1.90663286332062,1.93364299029095,2.31550778767127,2.77253295938572
"182","Teslin",2007,7.6514138286827,9.74023597818103,12.1315185497996,6.04452568928235,6.44600686329215,6.87265271708641
"183","Upper Lakes and Mainstem",2007,2.2198279089912,3.20929752728141,4.45784239304977,1.1965888883412,1.27131733588907,1.35062551369513
"184","White-Donjek",2007,1.7240785788271,2.65364071018894,3.92724174121355,5.5426800858803,5.83600763435816,6.14326522257202
"185","Carmacks",2008,6.6105351304518,8.39811236557098,10.4340157759297,2.42163015203794,6.30641671463648,14.696301894417
"186","Lower Mainstem",2008,1.08017828424991,2.22883385103806,4.37480415911767,4.03522434589543,4.63455548426718,5.31906047833543
"187","Middle Mainstem",2008,10.0497045927819,11.2268750566034,12.669760812214,6.82681063241271,7.14745024285641,7.47977629481575
"188","Pelly",2008,3.56377804091172,4.60633812352749,5.7595126882392,3.69190426784539,4.20356677192224,4.78715188401459
"189","Stewart",2008,1.55641520486848,2.15413065591082,2.82113104962331,2.30461293810246,2.40655153374649,2.51350897017158
"190","Teslin",2008,5.76440342427276,7.45280742516857,9.34347484937083,5.08081383905471,7.51968587943412,11.1903194492972
"191","Upper Lakes and Mainstem",2008,3.3172843947114,4.53087124967966,5.93086734012115,3.58387443563759,3.73759280033301,3.89216790839235
"192","White-Donjek",2008,1.31994130147906,2.15446578989,3.41074422091963,1.32655713212744,1.78558618090363,2.40406344940711
"193","Carmacks",2009,13.4017262766968,15.3141051849183,17.2983924213969,12.6413746249065,13.0909856045919,13.5395838561751
"194","Lower Mainstem",2009,7.74664946730087,9.77971480322319,11.8485091877429,6.15806470559388,7.59691558828228,9.3512335913189
"195","Middle Mainstem",2009,15.6494489158595,17.1790581394581,18.6779750445324,5.28991593452,5.50853483828023,5.73727809880837
"196","Pelly",2009,12.3868913612564,14.1871058745367,16.1727532274833,12.0471241749791,13.3854851528578,14.8202724979565
"197","Stewart",2009,4.31518221856622,5.02815878807088,5.90354512307717,4.84310826593102,5.08773437266317,5.3453940649937
"198","Teslin",2009,5.8901636911635,7.02094326634886,8.3828818967673,8.81390940277905,12.0146129531022,16.4922623062309
"199","Upper Lakes and Mainstem",2009,4.77455603419233,5.94803017404629,7.27750313436435,1.43017628329385,1.50255139138299,1.5753777688404
"200","White-Donjek",2009,6.40999883190084,8.20688627107401,10.5027949509952,3.31238236973771,5.52654671414318,9.22580943196431
"201","Carmacks",2010,10.2800802142652,11.9856246230135,14.1731225648579,4.90350908557142,5.55446046627532,6.27387927736851
"202","Lower Mainstem",2010,3.90100942864601,6.05017225145059,8.68680170664049,2.80413211398554,3.8598439591397,5.32371603968756
"203","Middle Mainstem",2010,10.5259154234352,11.603608155771,12.6265839006644,7.11320508590232,7.69593351007875,8.31021837866938
"204","Pelly",2010,6.02777298750363,7.36325008759631,8.8675546307955,3.34583867568489,3.93414056027588,4.61099707190459
"205","Stewart",2010,2.10455173247796,2.85124004062921,3.69303618024382,1.72448191445654,1.92459633786551,2.1515917897996
"206","Teslin",2010,3.18863339232123,4.19043330123479,5.56249107455903,2.45986947043438,3.03340365624423,3.72974998385139
"207","Upper Lakes and Mainstem",2010,2.99252964693699,4.0010342655844,5.13928627764351,2.20867230091071,2.31639915077734,2.4308865538218
"208","White-Donjek",2010,4.07472155741097,5.7602951765595,8.17421431132858,2.81571088455279,3.82072476674144,5.16632492182592
"209","Carmacks",2011,16.3642266949679,18.9159523222869,21.8728858726041,9.61147985022658,11.2694982562197,13.2290960430979
"210","Lower Mainstem",2011,17.5230850686081,21.9691148444542,26.7291656089403,2.46438777928184,3.24063498702624,4.23411507213216
"211","Middle Mainstem",2011,10.1539151402457,11.2965273288986,12.5302571400996,9.16780806342486,9.41402020019492,9.66322566172506
"212","Pelly",2011,10.8077243887551,13.0110128110279,15.9037527962519,5.16808263402806,6.31025397173829,7.72567986278954
"213","Stewart",2011,6.93700861673536,7.99850065566651,9.17250171682169,2.38442666339099,2.48625202641481,2.59978939747291
"214","Teslin",2011,16.5334768636497,19.3846100107336,23.1071908388374,5.40982579602785,7.11899071595112,9.41659685135533
"215","Upper Lakes and Mainstem",2011,3.65683814048954,4.38215405019457,5.27291131242174,4.68911536611226,4.85124462219696,5.01683621855717
"216","White-Donjek",2011,11.4865908359838,15.3647861193917,19.7253789585839,1.78927623926321,2.89508348796352,4.6258208381393
"217","Carmacks",2012,13.6141121845382,16.1482619156503,18.869310709534,5.04127575780251,5.62127907412862,6.27551435932272
"218","Lower Mainstem",2012,11.0676193964542,14.5051994567874,18.4855150975763,6.79683480600611,7.319442529122,7.90874663956692
"219","Middle Mainstem",2012,11.8354253975104,13.4871570997823,15.4106820914779,6.42310711921221,6.67850149227062,6.93306172107266
"220","Pelly",2012,10.0699449354693,11.9069554413236,13.8749702054553,3.26984658105796,4.34417753789601,5.69971915674023
"221","Stewart",2012,4.22816038834082,5.34689228425866,6.57150038550112,1.80256112337948,1.99805718147536,2.21703004810299
"222","Teslin",2012,8.68903946996017,10.7286511808856,12.8582935498789,2.94334834778601,3.76795792483481,4.81678170776182
"223","Upper Lakes and Mainstem",2012,3.33753382134828,4.16531416307144,5.11993369625514,2.07048265210804,2.19977702133943,2.33168210490198
"224","White-Donjek",2012,7.30345255247783,10.4249122992648,14.4172343341408,1.16840262631623,1.81716701564879,2.74546059229559
