"Population","Year","rearing_temp","rearing_prcp","WeeklyMigtemp_t0","Breakup_day","Snowpack_mean","spawning_temp","total_spawning_prcp","Winter_SST","Summer_SST","discharge","Pdischarge","Pink_total","Chum_total","Wintering_temp","winter_length","max_spawning_prcp","rearing_prcp_max","GDD5"
"Stewart",1989,10.72248746508,203.770445406446,15.4122866666667,120,147.469940111531,8.67168441599451,98.5528916390538,1.80915078020292,8.32800957848485,3720,512882.352941176,122.8,92.41229349,-16.4267327691829,222.714285714286,42.8657440374233,81.4502017793003,1150.96488583303
"Stewart",1990,9.55894491813333,216.641080544697,16.190795,129,218.62307061319,7.55661670511899,249.751789192527,1.74842066292648,5.78959223728824,4670,477058.823529412,188.2,122.8190881,-17.723104276388,222.071428571429,127.490116414176,108.713456626083,1026.81950681825
"Stewart",1991,10.14503377657,197.446457570153,17.8358316666667,119,368.498404852375,6.69326789559205,233.614003078713,2.50868562640001,7.41047687806945,5410,482764.705882353,165.5,137.4188704,-14.2456287607924,232.571428571429,93.616153603959,81.0554981945058,985.188124848533
"Stewart",1992,10.4680253943633,185.841939991882,18.5,121,243.332466494666,5.21013396225155,183.484179639866,1.78321462490336,6.80317260908044,7630,602941.176470588,231.3,146.2317973,-14.7866146907688,219.357142857143,85.5142086664441,69.9389703397375,1156.06495121465
"Stewart",1993,12.0176861868333,132.878239837776,16.25,120,154.049297890972,7.4599517300703,142.096778068212,2.58591671579678,7.25695291910194,4930,619647.058823529,197.7,161.8954254,-15.6083621534635,222.071428571429,72.56318318001,47.9911179611326,1204.87749761591
"Stewart",1994,10.1446652189467,214.222094727239,15.22,128,121.119562626521,8.65079190935668,138.463326557534,1.97904382333399,7.29039773884891,4620,538647.058823529,150.5,132.9529677,-15.8945926733597,214.785714285714,51.6987948103872,95.4117322610018,1216.54358391566
"Stewart",1995,9.23146363363667,213.978098541121,17.4543596,124,83.5349165055266,7.28239230770966,131.52101961585,2.23673972654265,7.79047169777507,3910,393647.058823529,177.3,134.4686715,-19.2411571057789,231.285714285714,63.5181595613464,89.9802596847492,931.764329783881
"Stewart",1996,11.1101904367467,228.499258270276,15.6780934666667,124,166.481062022076,6.29469816747594,205.744207493846,2.00529352522485,7.16021915737557,4020,378382.352941176,267.9,115.1650486,-17.4538947772658,225.142857142857,90.8026364996097,103.080208484527,1209.59415303576
"Stewart",1997,10.42506703938,127.331315997538,17.30271456,128,112.913452160791,8.14814709321383,127.878699528641,0.970644898082402,5.42421545448222,4810,455380.191574922,141.7,113.9506684,-12.5136982984054,219.071428571429,60.8852388128858,59.3256033495498,1152.71659011937
"Stewart",1998,10.9136682290667,165.432303794264,16.85701,126,44.5290877525976,6.96857414917663,112.180240744744,3.27961344833834,6.85224456271687,3080,442357.271321824,223.4,133.7195502,-16.1101913585327,227.642857142857,49.6487780539686,59.7108610743728,1059.90619542648
"Stewart",1999,9.602855336,235.446719277432,16.8894485483333,128,157.500670170375,7.8391814558951,162.437818168023,2.1139667378329,6.12173854095349,3970,448526.26824784,177.9,120.6152433,-13.3808671848791,230.928571428571,68.2269631528737,95.4181560004632,880.3296083029
"Stewart",2000,10.8468346107,159.052580564786,16.682989,132,108.280333636255,5.78209206264525,207.836799535897,3.58086559724616,7.57510038648827,6150,462720.262566188,242.4,135.5352607,-12.6610374835418,230.571428571429,96.130670826462,89.1374211046513,1084.14660423899
"Stewart",2001,9.71325941672,254.805559021817,14.6117833333333,127,111.768158938981,7.97906060598416,93.8978524376882,2.93157277266349,8.18849586850203,6390,708212.121212121,182.8,143.1787787,-16.0918610013898,222.285714285714,49.64645933288,111.878001460568,1072.39390222889
"Stewart",2002,10.3442238404167,186.692573905245,15.8181125714286,125,111.076291692417,6.46491683999464,199.477386461521,3.11763718185655,9.17784988246678,3930,380705.882352941,290.1,131.3057068,-11.7638503949967,228.142857142857,118.27558304576,85.4879031467655,1133.93261241273
"Stewart",2003,12.5529865512333,113.307329242685,17.3666,119,196.89855445188,6.31769401056934,136.390304222395,2.01096694951626,8.01807427406311,4450,432352.941176471,118.1,143.5614929,-16.0473266173173,217.714285714286,61.828932461901,58.9195042221198,1268.12995407384
"Stewart",2004,10.3840896025367,252.081075494589,18.0902,131,229.998985533759,6.62072575477621,122.670811746748,1.83269147326138,7.03418687821011,4080,494470.588235294,228.4,130.8848695,-14.1210492831541,214.571428571429,52.9520721559267,124.583573482579,1217.64130421601
"Stewart",2005,10.68149232663,156.370982979767,17.6147,124,168.205967925356,7.13243727984789,162.745212016036,0.930934010536917,8.30068897617899,4900,489060.606060606,123.4,118.1742491,-13.91320553544,219.714285714286,75.5306825823796,62.8396241617288,1151.94410086695
"Stewart",2006,11.7431002085667,215.817917526063,14.7959998996667,125,128.128645807955,7.40897235152091,151.06151397351,1.10648982250412,6.84815793804788,4780,497676.470588235,189.7,145.4959184,-17.645170333187,224.071428571429,65.1148957251872,92.4505755089123,1262.15445151185
"Stewart",2007,9.56599252524667,281.46269853689,16.8,123,240.403756429301,7.7194420158298,180.365279642535,1.36249980852583,6.96823974781566,5470,397735.294117647,155.8,131.8277851,-15.3452676563024,222,72.8603099778341,122.61014775101,1040.51919874647
"Stewart",2008,11.18156582567,182.84295503973,16,120,113.537400972133,6.40157102398366,272.346959658942,1.75392825236782,6.87396429834554,5670,460696.96969697,214,123.904235,-17.5972123244459,225.214285714286,122.406095450123,96.0949401160781,1263.61075640529
"Stewart",2009,11.2345812767333,254.491751598039,16.5833333333333,127,134.341360618242,8.25981793583263,169.775542167803,0.625193314172933,6.27358668538683,3990,593735.294117647,116.2,136.2527179,-11.9877669839441,219,93.5517807290407,92.4594081125273,1289.95849193563
"Stewart",2010,10.4216172500067,344.771578658959,16.6502343666667,122,118.960411361528,7.88383714193825,129.889455086344,1.33095818533437,6.37799126474897,5070,325058.823529412,367.4,146.6062529,-16.4790052254773,225.071428571429,77.9956434493938,139.563407684326,1205.61938955745
"Stewart",2011,10.8601057529433,231.315163737513,14.6309166666667,135,175.767751148802,7.27139271337589,191.196872858269,2.53006240339,7.32964364946752,6430,497441.176470588,158.2,144.186359,-13.8800614130339,226.071428571429,86.0591464535763,100.087338706936,1186.66548628446
"Stewart",2012,12.3682956043667,218.28593758776,16.1085,122,182.137655472006,7.53962958115347,130.64498953503,3.78524192873254,8.20223649530019,6650,561970.588235294,299.2,157.2126108,-18.2994777540048,225.571428571429,56.8484851908107,91.015223366693,1323.47582094462
"Teslin",1985,8.99833440712333,162.792441101152,16.4166666666667,129,242.149023689758,8.78671672757886,179.547436228424,2.64281576477556,6.28753724939006,6330,550676.470588235,112.4,111.9554261,-11.1083482404692,231.045454545455,64.3894018519092,80.9514457471637,902.853256922801
"Teslin",1986,8.96821560063,181.242803259719,15.8333333333333,122,228.501058931224,8.66336904762034,246.151973040658,2.01999420537931,7.01144032482652,6160,491848.484848485,179.6,99.0824594,-9.25323176465111,216.590909090909,89.6334380323525,68.877743438519,910.768462960907
"Teslin",1987,8.73526389649,292.652430348356,15.4,119,233.764837165862,9.34340879329875,210.794877242353,2.01936972686697,6.68938278496841,5230,456764.705882353,159.2,113.6078584,-8.93260459854382,218.772727272727,79.1893468069048,157.847224297985,941.985979093428
"Teslin",1988,11.5397484317767,138.370266177106,17.1666666666667,120,242.167658677299,8.77293909786263,207.570545024125,2.03775415899097,7.4749868184616,6730,449294.117647059,218.8,105.296214,-12.4332551290555,214.545454545455,80.0306626315214,61.0079712851485,1359.80705291992
